【合租】七里塘 中兴西湖花园 4室主卧,中兴西湖花园,1150,http://hf.58.com/pinpaigongyu/27338470185148x.shtml
【合租】新站周边 昊天园一期 4室主卧,昊天园一期,900,http://hf.58.com/pinpaigongyu/26895231080260x.shtml
【合租】生态公园 阳光汇景 4室主卧,阳光汇景,950,http://hf.58.com/pinpaigongyu/27470858047921x.shtml
【合租】四里河 大富绿洲9#90 4室主卧,大富绿洲9#90,800,http://hf.58.com/pinpaigongyu/26895213625649x.shtml
【合租】生态公园 阳光汇景 4室主卧,阳光汇景,750,http://hf.58.com/pinpaigongyu/27470937921085x.shtml
【合租】和煦园 北美印象（呆萌龙 5室次卧,北美印象（呆萌龙,750,http://hf.58.com/pinpaigongyu/27336132431549x.shtml
【合租】和煦园 北美印象（麋鹿森 5室主卧,北美印象（麋鹿森,1150,http://hf.58.com/pinpaigongyu/27138729859652x.shtml
【合租】四里河 北湖南岸B#60 4室主卧,北湖南岸B#60,900,http://hf.58.com/pinpaigongyu/26737621656391x.shtml
【合租】生态公园 阳光汇景 4室主卧,阳光汇景,900,http://hf.58.com/pinpaigongyu/27470980180010x.shtml
【合租】七里塘 中兴西湖花园 4室主卧,中兴西湖花园,900,http://hf.58.com/pinpaigongyu/27338391445819x.shtml
【合租】四里河 大富绿洲12#2 3室主卧,大富绿洲12#2,800,http://hf.58.com/pinpaigongyu/26751362399043x.shtml
【合租】庐阳周边 橡树湾（春风十里 4室主卧,橡树湾（春风十里,950,http://hf.58.com/pinpaigongyu/27138801448008x.shtml
四里河 北美印象雅苑8# 4室 主卧朝北,北美印象雅苑8#,850,http://hf.58.com/pinpaigongyu/26884677418814x.shtml
【合租】四里河 北湖南岸B#60 4室主卧,北湖南岸B#60,850,http://hf.58.com/pinpaigongyu/26751363614151x.shtml
【合租】四里河 瑞地祥和府5#2 4室主卧,瑞地祥和府5#2,850,http://hf.58.com/pinpaigongyu/27015525381037x.shtml
【合租】三里庵 梅园公寓 3室主卧,【合租】三里庵,1450,http://hf.58.com/pinpaigongyu/27338327824302x.shtml
【合租】四里河 中铁广园5#23 5室主卧,中铁广园5#23,800,http://hf.58.com/pinpaigongyu/26884840803134x.shtml
【合租】四里河 北湖南岸B#60 4室主卧,北湖南岸B#60,750,http://hf.58.com/pinpaigongyu/26737615650603x.shtml
【合租】四里河 瑞地祥和府5#2 4室主卧,瑞地祥和府5#2,750,http://hf.58.com/pinpaigongyu/27015584056008x.shtml
【合租】七里塘 中兴西湖花园 4室主卧,中兴西湖花园,950,http://hf.58.com/pinpaigongyu/27338419311672x.shtml
【合租】四里河 瑞地祥和府5#2 4室主卧,瑞地祥和府5#2,850,http://hf.58.com/pinpaigongyu/27015492621870x.shtml
【合租】杏花公园 大富绿洲9-26 4室主卧,大富绿洲9-26,800,http://hf.58.com/pinpaigongyu/26751351730621x.shtml
【合租】四里河 大富绿洲12#2 3室主卧,大富绿洲12#2,750,http://hf.58.com/pinpaigongyu/26738283023931x.shtml
【合租】四里河 大富绿洲12#2 3室主卧,大富绿洲12#2,850,http://hf.58.com/pinpaigongyu/26751361092151x.shtml
【合租】和煦园 北美印象（跳动的 5室主卧,北美印象（跳动的,1250,http://hf.58.com/pinpaigongyu/27138725359690x.shtml
【合租】四里河 中铁广园5#23 4室主卧,中铁广园5#23,800,http://hf.58.com/pinpaigongyu/26884851054924x.shtml
【合租】三里庵 梅园公寓 3室主卧,【合租】三里庵,1100,http://hf.58.com/pinpaigongyu/27338279199282x.shtml
【合租】生态公园 阳光汇景 4室主卧,阳光汇景,900,http://hf.58.com/pinpaigongyu/27470898527046x.shtml
【合租】七里塘 中兴西湖花园 4室主卧,中兴西湖花园,800,http://hf.58.com/pinpaigongyu/27338508974534x.shtml
【合租】三里庵 梅园公寓 3室主卧,【合租】三里庵,1200,http://hf.58.com/pinpaigongyu/27338217829303x.shtml
【合租】四里河 中铁广园5#23 4室主卧,中铁广园5#23,800,http://hf.58.com/pinpaigongyu/26884854798517x.shtml
【合租】周谷堆 元一柏庄 4室主卧,元一柏庄,1050,http://hf.58.com/pinpaigongyu/27637475309740x.shtml
